time,open,high,low,close,Relative Strength Line,Relative Strength Line MA,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Shapes,SMA1,SMA2,SMA3,SMA4,Volume,Volume Moving Average,% Change vs MA,ATR
2015-04-20T09:20:00+08:00,27770.789,27770.789,26959.77,27094.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25875.110099999998,25016.54626000003,NaN,24205.510490000048,NaN,NaN,NaN,449.92836266763874
2015-04-21T09:20:00+08:00,27404.15,27925.359,27404.15,27850.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26044.19005,25082.46048000003,NaN,24228.655340000045,NaN,NaN,NaN,477.10697961995027
2015-04-22T09:20:00+08:00,27821.32,28048.461,27727.859,27933.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26222.12055,25147.54228000003,NaN,24252.37098500005,NaN,NaN,NaN,465.9280525042395
2015-04-23T09:20:00+08:00,28112.381,28213.631,27804.029,27827.699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26388.78,25208.78646000003,NaN,24273.76138500005,NaN,NaN,NaN,461.90476303965113
2015-04-24T09:20:00+08:00,27978.391,28089.369,27591.57,28060.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26571.849,25276.418240000028,NaN,24296.409090000052,NaN,NaN,NaN,464.46863710824744
2015-04-27T09:20:00+08:00,28245.141,28588.52,28245.141,28433.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26767.117000000006,25354.670040000026,NaN,24320.845245000048,NaN,NaN,NaN,468.9737344576584
2015-04-28T09:20:00+08:00,28448.221,28548.449,28251.99,28442.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26964.4005,25432.963040000024,NaN,24345.354395000053,NaN,NaN,NaN,456.6512534249684
2015-04-29T09:20:00+08:00,28453.1,28453.1,28201.76,28400.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27160.107550000004,25514.669440000023,NaN,24369.649190000055,NaN,NaN,NaN,441.9861638946135
2015-04-30T09:20:00+08:00,28289.141,28317.869,27997.9,28133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27324.001600000007,25588.886440000028,NaN,24394.433840000052,NaN,NaN,NaN,439.1614379021411
2015-05-04T09:20:00+08:00,28231.26,28343.74,28017.199,28123.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27485.148050000007,25657.712060000027,NaN,24418.85799000005,NaN,NaN,NaN,431.1171209091311
