time,open,high,low,close,Relative Strength Line,Relative Strength Line MA,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Shapes,SMA1,SMA2,SMA3,SMA4,Volume,Volume Moving Average,% Change vs MA,ATR
2013-08-19T09:20:00+08:00,17.66,17.75,15.73,17.469999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.061000000000003,19.828599980000007,NaN,16.729749970000004,NaN,NaN,NaN,1.4211589907257682
2013-08-20T09:20:00+08:00,17.57,19.41,17.34,19.120001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.064500100000004,19.844400000000007,NaN,16.740949980000003,NaN,NaN,NaN,1.4675047771024992
2013-08-21T09:20:00+08:00,18.74,20.379999,17.98,19.309999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.103,19.843000000000007,NaN,16.756899970000003,NaN,NaN,NaN,1.5341115073094636
2013-08-22T09:20:00+08:00,19.860001,19.92,17.940001,18.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.1685,19.844400000000007,NaN,16.768749965,NaN,NaN,NaN,1.5659606139302162
2013-08-23T09:20:00+08:00,18.280001,18.84,17.290001,18.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.227000050000004,19.833199980000007,NaN,16.777799965,NaN,NaN,NaN,1.5648204986494865
2013-08-26T09:20:00+08:00,18.559999,18.92,18.299999,18.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.305500000000002,19.774400000000004,NaN,16.786799970000004,NaN,NaN,NaN,1.4973333916030946
2013-08-27T09:20:00+08:00,18.73,19.6,18.620001,19.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.361499950000002,19.753200020000005,NaN,16.803999970000003,NaN,NaN,NaN,1.4675238636314452
2013-08-28T09:20:00+08:00,20.860001,21.290001,19.99,20.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.509499950000002,19.770000040000003,NaN,16.82829997,NaN,NaN,NaN,1.496986516229199
2013-08-29T09:20:00+08:00,20.17,20.35,19.57,19.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.591,19.768200040000007,NaN,16.84809997,NaN,NaN,NaN,1.4729160507842562
2013-08-30T09:20:00+08:00,19.84,19.85,18.690001,19.059999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.68199995,19.727600020000008,NaN,16.862199965,NaN,NaN,NaN,1.4505648328710952
2013-09-02T09:20:00+08:00,18.27,18.709999,18.129999,18.280001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.79049995,19.638800060000005,NaN,16.870099964999998,NaN,NaN,NaN,1.41338163052316
