time,open,high,low,close,HV
2018-09-10T08:00:00+08:00,195.73,202.77,186.44,196.66,94.29422797211178
2018-09-11T08:00:00+08:00,196.81,199.03,176,185.04,94.88131768682528
2018-09-12T08:00:00+08:00,184.8,184.82,167,182.78,94.8184016611623
2018-09-13T08:00:00+08:00,182.83,214.88,182.78,211.31,101.81619994774344
2018-09-14T08:00:00+08:00,211.25,223.91,202.53,208.71,100.14086499441052
2018-09-15T08:00:00+08:00,208.32,227,208.19,221.93,100.88201996050958
2018-09-16T08:00:00+08:00,221.39,223,205.62,220.08,100.67746687457071
2018-09-17T08:00:00+08:00,220.14,225,192,196.16,103.70731682136345
2018-09-18T08:00:00+08:00,196,214.39,194,208.53,105.02361109696434
2018-09-19T08:00:00+08:00,208.5,214.7,196.66,209.48,104.5538435093377
2018-09-20T08:00:00+08:00,209.52,227.68,206.8,224.3,106.43681525152098
2018-09-21T08:00:00+08:00,224.15,252.14,220.64,247.64,109.82653564067056
2018-09-22T08:00:00+08:00,247.58,255.89,232.6,239.93,108.37966680164402
2018-09-23T08:00:00+08:00,240.37,249.44,237,244.14,108.59933198895104
2018-09-24T08:00:00+08:00,244.44,245.76,224.5,228.05,109.47870486181004
2018-09-25T08:00:00+08:00,227.64,227.64,203.25,218.85,109.49717611883652
2018-09-26T08:00:00+08:00,219.4,223,207.21,214.42,109.47018034185191
2018-09-27T08:00:00+08:00,214.33,234,210,228.58,111.06719098158003
2018-09-28T08:00:00+08:00,228.53,233.65,214.32,220.94,111.17947882960947
2018-09-29T08:00:00+08:00,220.64,236.98,212.54,230.56,111.43927832441365
2018-09-30T08:00:00+08:00,230.14,238.47,224,231.96,111.41772824737632
2018-10-01T08:00:00+08:00,232.02,234.58,223.84,229.66,111.37097900522846
2018-10-02T08:00:00+08:00,230.38,230.74,221.39,224.83,111.2302637475602
2018-10-03T08:00:00+08:00,224.79,225.22,210.5,218.96,111.2410208539086
2018-10-04T08:00:00+08:00,219.01,225,218.12,221.07,111.27687021836645
2018-10-05T08:00:00+08:00,221.06,230.29,218.28,226.73,111.61477960077495
2018-10-06T08:00:00+08:00,226.54,227.19,222,223.06,110.7357616395263
2018-10-07T08:00:00+08:00,223.49,225.98,220.1,224.34,109.99567647356211
2018-10-08T08:00:00+08:00,225.06,230.98,222.2,227.79,109.89645679543176
2018-10-09T08:00:00+08:00,227.55,228.8,224.84,226.3,107.89099187531696
2018-10-10T08:00:00+08:00,226.29,226.47,221.11,223.38,107.50871342954645
2018-10-11T08:00:00+08:00,223.14,223.39,185,188.42,114.74975735317803
2018-10-12T08:00:00+08:00,188.2,197.89,186.89,194.67,112.16981149150072
2018-10-13T08:00:00+08:00,193.61,199.27,193,196.79,112.17938199299718
2018-10-14T08:00:00+08:00,196.96,199.5,187.45,192.01,112.18468164957228
2018-10-15T08:00:00+08:00,191.85,219.75,189.71,204.86,113.36405203905383
2018-10-16T08:00:00+08:00,204.52,208.26,201.99,205.69,110.18950362402148
2018-10-17T08:00:00+08:00,205.61,206.4,200.99,203.41,108.81146982884853
2018-10-18T08:00:00+08:00,203.7,205.95,196.63,199.29,108.65996943688967
2018-10-19T08:00:00+08:00,198.97,202.1,197.27,200.08,106.0665969412992
2018-10-20T08:00:00+08:00,200.01,206,198.84,202.59,105.6271090653109
2018-10-21T08:00:00+08:00,202.33,206.21,201.08,202.19,105.26204479423745
2018-10-22T08:00:00+08:00,202.14,203.24,199.33,201.23,105.06601658790073
2018-10-23T08:00:00+08:00,201,202.1,197.65,200.96,104.90354926376101
2018-10-24T08:00:00+08:00,200.87,202.84,200,200.67,104.90135398810193
2018-10-25T08:00:00+08:00,200.6,200.89,197.88,199.66,104.88887874655967
2018-10-26T08:00:00+08:00,199.67,204.27,198.54,200.69,104.10680413585081
2018-10-27T08:00:00+08:00,200.74,201.97,199.92,201.26,103.80601971024093
2018-10-28T08:00:00+08:00,201.42,203.16,200.8,202.44,103.73425740501217
2018-10-29T08:00:00+08:00,202.44,202.77,191.37,194.14,104.08798710996403
2018-10-30T08:00:00+08:00,194.2,196.69,192.96,195.3,104.12796300431394
2018-10-31T08:00:00+08:00,195.3,199.16,191.65,196.68,103.29923692661674
2018-11-01T08:00:00+08:00,196.7,198.56,195.96,197.73,103.33636982485862
2018-11-02T08:00:00+08:00,197.77,201.49,197.46,199.9,103.36828773571902
